id,name,category,brand,price,color,material,weight,rating,in_stock
1,Premium Wireless Headphones,Electronics,SoundWave,199.99,Black,Aluminum,0.5,4.5,Yes
2,Ergonomic Office Chair,Furniture,ComfortPro,349.99,Gray,Mesh,15.5,4.7,Yes
3,Smart 4K Ultra HD TV,Electronics,VisionTech,799.99,Silver,Plastic,25.3,4.6,Yes
4,Stainless Steel Kitchen Knife Set,Kitchen,CulinaryCraft,129.99,Silver,Stainless Steel,2.2,4.8,Yes
5,Leather Messenger Bag,Accessories,UrbanTrend,89.99,Brown,Genuine Leather,1.5,4.4,Yes
6,Programmable Coffee Maker,Kitchen,BrewMaster,129.99,Black,Stainless Steel,5.5,4.6,Yes
7,Running Athletic Shoes,Sports,SpeedStep,89.99,Blue,Synthetic,0.8,4.5,Yes
8,Memory Foam Mattress,Bedroom,DreamCloud,599.99,White,Memory Foam,45.0,4.7,Yes
9,Portable Bluetooth Speaker,Electronics,SoundPulse,79.99,Red,Aluminum,0.6,4.3,Yes
10,Non-Stick Cookware Set,Kitchen,CookEase,199.99,Black,Aluminum,12.5,4.6,Yes
11,Fitness Tracking Smartwatch,Electronics,FitTech,149.99,Green,Silicone,0.3,4.4,Yes
12,Modern Dining Table,Furniture,StyleHome,499.99,Brown,Wood,65.0,4.5,Yes
13,Wireless Gaming Mouse,Electronics,GamePro,59.99,Black,Plastic,0.2,4.6,Yes
14,Premium Yoga Mat,Sports,ZenFitness,49.99,Purple,Rubber,1.5,4.7,Yes
15,Robot Vacuum Cleaner,Home Appliances,CleanTech,299.99,Silver,Plastic,5.5,4.5,Yes
16,Men's Leather Wallet,Accessories,ClassicStyle,49.99,Brown,Genuine Leather,0.2,4.3,Yes
17,Electric Kettle,Kitchen,BoilMaster,59.99,White,Stainless Steel,2.5,4.4,Yes
18,Noise Cancelling Earbuds,Electronics,SoundShield,129.99,Black,Aluminum,0.1,4.6,Yes
19,Designer Throw Pillows Set,Home Decor,CozyLiving,79.99,Blue,Cotton,2.0,4.5,Yes
20,Professional Hair Dryer,Personal Care,SalonPro,89.99,Red,Plastic,0.7,4.4,Yes
